epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,52271.7,0.61258,0.71264,1.15377,0.66808,0.63666,0.70089,0.52894,0.42398,0.53348,0.5629,0.00219739,0.00219739,0.00219739
71,52981.3,0.58707,0.70932,1.14516,0.62735,0.68317,0.66518,0.52409,0.42293,0.54368,0.55486,0.00206901,0.00206901,0.00206901
72,53688.2,0.57726,0.67909,1.12971,0.62331,0.65955,0.6843,0.52908,0.42788,0.52425,0.54629,0.00194353,0.00194353,0.00194353
73,54399.8,0.58424,0.68677,1.1417,0.7024,0.55526,0.66599,0.50628,0.45406,0.5411,0.57205,0.00182107,0.00182107,0.00182107
74,55108.3,0.59994,0.69677,1.15457,0.6023,0.62503,0.64888,0.51951,0.43846,0.54972,0.56538,0.00170175,0.00170175,0.00170175
75,55817.2,0.61091,0.70705,1.14841,0.65058,0.70643,0.68217,0.52635,0.44242,0.53775,0.55559,0.00158569,0.00158569,0.00158569
76,56524.5,0.56823,0.67864,1.12277,0.60577,0.67692,0.67684,0.52632,0.45179,0.55593,0.56101,0.001473,0.001473,0.001473
77,57228,0.55918,0.65992,1.12955,0.74575,0.52126,0.65032,0.51871,0.44699,0.5453,0.55154,0.0013638,0.0013638,0.0013638
78,57942.2,0.52471,0.63082,1.11236,0.75057,0.58344,0.68922,0.52816,0.43112,0.52909,0.54369,0.0012582,0.0012582,0.0012582
79,58651.6,0.51654,0.61295,1.10939,0.72524,0.56152,0.67765,0.52398,0.45715,0.51457,0.56093,0.00115629,0.00115629,0.00115629
